KEY,FREQ,ADJUSTMENT,REF_AREA,COUNTERPART_AREA,REF_SECTOR,COUNTERPART_SECTOR,CONSOLIDATION,ACCOUNTING_ENTRY,STO,INSTR_ASSET,MATURITY,EXPENDITURE,UNIT_MEASURE,CURRENCY_DENOM,VALUATION,PRICES,TRANSFORMATION,CUST_BREAKDOWN,TIME_PERIOD,OBS_VALUE,OBS_STATUS,CONF_STATUS,PRE_BREAK_VALUE,COMMENT_OBS,EMBARGO_DATE,OBS_EDP_WBB,TIME_FORMAT,COLL_PERIOD,COMMENT_TS,COMPILING_ORG,CURRENCY,CUST_BREAKDOWN_LB,DATA_COMP,DECIMALS,DISS_ORG,GFS_ECOFUNC,GFS_TAXCAT,LAST_UPDATE,REF_PERIOD_DETAIL,REF_YEAR_PRICE,REPYEAREND,REPYEARSTART,TABLE_IDENTIFIER,TIME_PER_COLLECT,TITLE,TITLE_COMPL,UNIT_MULT,COMMENT_DSET
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2002-Q2,34.16130171940017,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2002-Q3,34.05909140588,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2002-Q4,32.99263775302039,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2003-Q1,32.237463161155475,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2003-Q2,32.060396518487146,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2003-Q3,32.01824202390276,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2003-Q4,33.77820652799109,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2004-Q1,33.2296969162252,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2004-Q2,32.78405385413338,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
QSA.Q.N.RO.W0.S11.S1.N.D.P51G._Z._Z._Z.XDC_R_B1G_CY._T.S.V.C4._T,Q,N,RO,W0,S11,S1,N,D,P51G,_Z,_Z,_Z,XDC_R_B1G_CY,_T,S,V,C4,_T,2004-Q3,34.825643134940606,A,F,,,,,P3M,,"Romania, reporting institutional sector Non financial corporations - Gross fixed capital formation - Not applicable - Not applicable - Counterpart area World (all areas, including reference area, including IO), counterpart institutional sector Total economy - Debit (Uses) - Non-consolidated, Current prices - Domestic currency (incl. conversion to current currency made using a fix parity); ratio to annual moving sum of sector specific gross value added, Neither seasonally adjusted nor calendar adjusted data - ESA 2010",4F0,,,,2,,,,,,,,,,U,"Gross fixed capital formation of Non financial corporations, ratio of gross value added",,0,
